PROSPERO_ID,Screener_1,Screener_2,Reconciliation,Final_Decision,URL,Status,Registration_Date,Anticipated_Start_Date,Anticipated_End_Date,Journal_Submission_Date,Notes
CRD42018093435,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42018093435,,,,,,
CRD42018103628,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42018103628,Ongoing,10/08/2018,16/07/2018,16/10/2018,,
CRD42018100581,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42018100581,,,,,,
CRD42018090490,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42018090490,,,,,,
CRD42019127050,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019127050,,,,,,
CRD42019122991,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019122991,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019122981,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019122981,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019122990,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019122990,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019118855,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019118855,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019122983,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019122983,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019122988,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019122988,Ongoing,17/04/2019,01/11/2018,31/08/2019,,
CRD42019138107,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019138107,,,,,,
CRD42019141099,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42019141099,,,,,,
CRD42020166248,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020166248,,,,,,
CRD42020165016,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020165016,,,,,,
CRD42020156816,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020156816,,,,,,
CRD42020158469,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020158469,,,,,,
CRD42020171849,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020171849,,,,,,
CRD42020152957,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020152957,,,,,,
CRD42020181676,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020181676,,,,,,
CRD42020182673,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020182673,,,,,,
CRD42020182763,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020182763,,,,,,
CRD42020184971,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020184971,Ongoing,22/05/2020,05/05/2020,30/09/2020,,
CRD42020181581,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020181581,Ongoing,27/05/2020,08/04/2020,01/07/2020,,
CRD42020191070,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020191070,Published,10/06/2020,08/06/2020,29/10/2021,18/11/2021,In main review as journal article
CRD42020188642,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020188642,,,,,,
CRD42020196586,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020196586,,,,,,
CRD42020196337,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020196337,Ongoing,25/06/2020,15/05/2020,30/04/2021,,
CRD42020197400,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020197400,,,,,,
CRD42020214421,1,0,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020214421,,,,,,
CRD42020219059,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020219059,,,,,,
CRD42021177701,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021177701,,,,,,
CRD42021226299,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021226299,Ongoing,15/01/2021,15/11/2020,31/10/2022,,In main review as conference abstract
CRD42021225056,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021225056,,,,,,
CRD42021226671,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021226671,,,,,,
CRD42021235397,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021235397,,,,,,
CRD42021238931,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021238931,,,,,,
CRD42021239642,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021239642,,,,,,
CRD42021222952,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021222952,,,,,,
CRD42021239813,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021239813,,,,,,
CRD42021238668,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021238668,,,,,,
CRD42021210568,1,0,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021210568,,,,,,
CRD42021251490,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021251490,,,,,,
CRD42021251949,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021251949,,,,,,
CRD42021260343,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021260343,,,,,,
CRD42021264075,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021264075,,,,,,
CRD42021276413,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021276413,,,,,,
CRD42021290797,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021290797,,,,,,
CRD42022295803,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022295803,,,,,,
CRD42022299329,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022299329,,,,,,
CRD42022289224,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022289224,,,,,,
CRD42022275764,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022275764,,,,,,
CRD42022307973,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022307973,,,,,,
CRD42022306558,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022306558,Published,08/03/2022,01/03/2021,31/03/2022,11/02/2022,In main review as journal article
CRD42022311998,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022311998,,,,,,
CRD42022326604,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022326604,,,,,,
CRD42022318620,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022318620,,,,,,
CRD42022300291,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022300291,,,,,,
CRD42022335883,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022335883,Ongoing,14/06/2022,01/02/2021,01/12/2022,,
CRD42022338248,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022338248,,,,,,
CRD42022338680,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022338680,,,,,,
CRD42022351451,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022351451,,,,,,
CRD42022309319,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022309319,,,,,,
CRD42022367094,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022367094,,,,,,
CRD42022337689,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022337689,,,,,,
CRD42022377875,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022377875,,,,,,
CRD42023384521,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023384521,,,,,,
CRD42023392578,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023392578,Ongoing,21/02/2023,02/01/2023,01/12/2023,,Anticipated end date not yet past as time of analysis
CRD42023367974,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023367974,,,,,,
CRD42023382270,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023382270,Ongoing,28/03/2023,21/12/2022,21/04/2023,,
CRD42023393439,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023393439,,,,,,
CRD42023418043,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023418043,,,,,,
CRD42023411044,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023411044,,,,,,
CRD42023427164,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023427164,,,,,,
CRD42023434189,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023434189,Ongoing,04/07/2023,10/06/2023,01/08/2023,,
CRD42023425261,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023425261,Ongoing,05/07/2023,08/05/2023,12/11/2023,,Anticipated end date not yet past as time of analysis
CRD42023443415,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023443415,,,,,,
CRD42023448719,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023448719,,,,,,
CRD42023448404,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023448404,Ongoing,01/08/2023,10/07/2023,10/09/2023,,
CRD42023450739,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023450739,,,,,,
CRD42023452516,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023452516,,,,,,
CRD42023452058,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023452058,,,,,,
